Node,Num,X,Y,Z,UX,UY,UZ
126.0,0.17305,0.18,0.0,-0.0371103568680393,0.5010705766422157,4.297812169973787,
127.0,0.17007,0.18,0.0,-0.03707701080192092,0.5020536037180264,4.32275009326532,
128.0,0.16708,0.18,0.0,-0.03697888476210869,0.502944334141182,4.348888485496776,
129.0,0.1641,0.18,0.0,-0.03679673030364078,0.5037490114159122,4.375901791379816,
130.0,0.16111,0.18,0.0,-0.03651517752347985,0.5044662773984541,4.403514835183029,
131.0,0.15813,0.18,0.0,-0.03612259437112321,0.5051059325274756,4.431494286203382,
132.0,0.15515,0.18,0.0,-0.03561144995478807,0.505673471396172,4.459633292229974,
133.0,0.15216,0.18,0.0,-0.03497660135796821,0.5061785737353329,4.487742221021836,
134.0,0.14918,0.18,0.0,-0.03421589086997312,0.5066280306389449,4.515644606486215,
135.0,0.1462,0.18,0.0,-0.03332877871137718,0.5070298789437184,4.54317512006106,
136.0,0.14321,0.18,0.0,-0.03231669809657789,0.5073900784374111,4.570178304253843,
137.0,0.14023,0.18,0.0,-0.03118218846582584,0.5077146504491569,4.596507633277104,
138.0,0.13725,0.18,0.0,-0.0299290532173286,0.5080080894596483,4.622024845053101,
139.0,0.13426,0.18,0.0,-0.02856184849040897,0.5082745352575387,4.646599493365616,
140.0,0.13128,0.18,0.0,-0.02708593339111149,0.5085170136380942,4.67010868419903,
141.0,0.1283,0.18,0.0,-0.02550717629683853,0.5087381155656057,4.692436948655194,
142.0,0.12531,0.18,0.0,-0.02383195721344234,0.5089396424847499,4.713476220669256,
143.0,0.12233,0.18,0.0,-0.02206700011925831,0.5091230195902944,4.733125889288809,
144.0,0.11934,0.18,0.0,-0.02021935810816212,0.5092891397748144,4.751292905581138,
145.0,0.11636,0.18,0.0,-0.01829631699316151,0.5094386249865623,4.767891925220579,
146.0,0.11338,0.18,0.0,-0.01630537661130161,0.5095717663398679,4.782845473554031,
147.0,0.11039,0.18,0.0,-0.0142541941306259,0.5096886933759615,4.796084120628043,
148.0,0.10741,0.18,0.0,-0.01215056629635926,0.509789358481399,4.80754665719694,
149.0,0.10443,0.18,0.0,-0.01000239453447613,0.5098736467084969,4.817180263390551,
150.0,0.10144,0.18,0.0,-0.007817669186743209,0.5099413780593046,4.824940664005818,
151.0,0.09846,0.18,0.0,-0.005604446292475056,0.5099923761766858,4.830792265013844,
152.0,0.09548,0.18,0.0,-0.003370833499513979,0.5100264750950863,4.834708267416398,
153.0,0.09249,0.18,0.0,-0.001124972757896589,0.5100435570185685,4.836670755194695,
154.0,0.08951,0.18,0.0,0.001124972757921773,0.5100435570185708,4.836670755194739,
155.0,0.08652,0.18,0.0,0.003370833499539417,0.5100264750950928,4.834708267416709,
156.0,0.08354,0.18,0.0,0.005604446292490209,0.5099923761766917,4.83079226501399,
157.0,0.08056,0.18,0.0,0.007817669186766818,0.5099413780593046,4.824940664005833,
158.0,0.07757,0.18,0.0,0.01000239453449805,0.509873646708496,4.817180263390654,
159.0,0.07459,0.18,0.0,0.01215056629638067,0.5097893584813926,4.807546657196807,
160.0,0.07161,0.18,0.0,0.01425419413064815,0.5096886933759528,4.796084120627977,
161.0,0.06862,0.18,0.0,0.01630537661132396,0.5095717663398547,4.782845473553738,
162.0,0.06564,0.18,0.0,0.01829631699318717,0.5094386249865446,4.767891925220042,
163.0,0.06266,0.18,0.0,0.02021935810819605,0.5092891397748021,4.751292905580921,
164.0,0.05967,0.18,0.0,0.0220670001192964,0.5091230195902892,4.733125889289006,
165.0,0.05669,0.18,0.0,0.02383195721347896,0.5089396424847498,4.713476220669241,
166.0,0.0537,0.18,0.0,0.02550717629688199,0.5087381155656051,4.692436948654868,
167.0,0.05072,0.18,0.0,0.02708593339115466,0.5085170136380949,4.670108684198349,
168.0,0.04774,0.18,0.0,0.02856184849045916,0.5082745352575362,4.646599493364809,
169.0,0.04475,0.18,0.0,0.02992905321737821,0.5080080894596504,4.622024845052317,
170.0,0.04177,0.18,0.0,0.0311821884658737,0.507714650449158,4.596507633276317,
171.0,0.03879,0.18,0.0,0.03231669809662127,0.5073900784374166,4.570178304252857,
172.0,0.0358,0.18,0.0,0.03332877871141244,0.5070298789437245,4.543175120059989,
173.0,0.03282,0.18,0.0,0.03421589087001087,0.5066280306389617,4.515644606485977,
174.0,0.02984,0.18,0.0,0.03497660135800246,0.506178573735364,4.487742221021816,
175.0,0.02685,0.18,0.0,0.03561144995480989,0.5056734713962069,4.459633292229843,
176.0,0.02387,0.18,0.0,0.03612259437114828,0.5051059325275106,4.431494286203365,
177.0,0.02089,0.18,0.0,0.03651517752350695,0.5044662773984923,4.403514835182801,
178.0,0.0179,0.18,0.0,0.03679673030366121,0.5037490114159495,4.375901791379262,
179.0,0.01492,0.18,0.0,0.03697888476212457,0.5029443341412163,4.348888485496048,
180.0,0.01193,0.18,0.0,0.03707701080193075,0.502053603718056,4.322750093264438,
181.0,0.00895,0.18,0.0,0.03711035686805672,0.501070576642243,4.297812169973259,
182.0,0.00597,0.18,0.0,0.03710566804071016,0.5000164032600013,4.274387242435694,
183.0,0.00298,0.18,0.0,0.03708417905642534,0.498896776248609,4.252559956948089,
184.0,0.0,0.177,0.0,0.03820426050916563,0.4976866354733298,3.976188820586739,
185.0,0.0,0.174,0.0,0.03936910817209508,0.4974061594885498,3.713877931778089,
186.0,0.0,0.171,0.0,0.04056624998474691,0.4968262981124866,3.44074145030813,
187.0,0.0,0.168,0.0,0.04187523316634344,0.4958585558324773,3.155932431051255,
188.0,0.0,0.165,0.0,0.04329836555871871,0.4944298501781161,2.860408588388475,
189.0,0.0,0.162,0.0,0.04485776552176163,0.4924671394538204,2.555507323065927,
190.0,0.0,0.159,0.0,0.04654426556124472,0.4899088827905698,2.242562483353324,
191.0,0.0,0.156,0.0,0.04835782076234299,0.4866957890909006,1.92288472305728,
192.0,0.0,0.153,0.0,0.05028368625406193,0.4827778829747525,1.597804279748334,
193.0,0.0,0.15,0.0,0.05231125902941048,0.4781099593808862,1.268687382255535,
194.0,0.0,0.147,0.0,0.05442205722926009,0.4726551226335062,0.93693496991585,
195.0,0.0,0.144,0.0,0.0565995469852455,0.4663826193989815,0.6039749571127485,
196.0,0.0,0.141,0.0,0.05882281292872167,0.4592695511200872,0.2712539798448601,
197.0,0.0,0.138,0.0,0.06107199817139409,0.4512998607629164,-0.05977073520552961,
198.0,0.0,0.135,0.0,0.0633248363410713,0.4424651192893737,-0.3876394241937687,
199.0,0.0,0.132,0.0,0.06555981059740144,0.4327640172950529,-0.7108979286775815,
200.0,0.0,0.129,0.0,0.06775419614511821,0.4222026702125585,-1.028105888006247,
201.0,0.0,0.126,0.0,0.0698859945838084,0.4107943028458728,-1.337844911515532,
202.0,0.0,0.123,0.0,0.07193278494429177,0.3985592926273865,-1.638726663587087,
203.0,0.0,0.12,0.0,0.0738729976524036,0.3855249018382487,-1.929400798665341,
204.0,0.0,0.117,0.0,0.07568517979749922,0.3717251670039092,-2.208562701578486,
205.0,0.0,0.114,0.0,0.07734893621367536,0.3572006125847235,-2.474960983086349,
206.0,0.0,0.111,0.0,0.07884436360564209,0.3419980422120096,-2.727404693429608,
207.0,0.0,0.108,0.0,0.08015287506917398,0.3261702044672511,-2.964770210180505,
208.0,0.0,0.105,0.0,0.08125662192408595,0.3097755184203276,-3.186007768230727,
209.0,0.0,0.102,0.0,0.08213937773811186,0.2928776785091349,-3.390147593179766,
210.0,0.0,0.099,0.0,0.08278577710584777,0.2755453379048134,-3.576305611699078,
211.0,0.0,0.096,0.0,0.08318244504981365,0.2578516456808262,-3.743688704101139,
212.0,0.0,0.093,0.0,0.08331684754479568,0.2398739098740624,-3.891599479729975,
213.0,0.0,0.09,0.0,0.08317890950118778,0.2216930607886826,-4.01944054324392,
214.0,0.0,0.087,0.0,0.08275918731631797,0.2033933179448959,-4.126718241372806,
215.0,0.0,0.084,0.0,0.08205133473405735,0.1850615707438097,-4.213045859392759,
216.0,0.0,0.081,0.0,0.08104915462519256,0.1667870779007815,-4.278146268662448,
217.0,0.0,0.078,0.0,0.07975047285830594,0.1486607525743959,-4.321853992808311,
218.0,0.0,0.075,0.0,0.07815236989620229,0.1307749269518229,-4.34411670995298,
219.0,0.0,0.072,0.0,0.07625735433770461,0.1132225268824674,-4.344996151905647,
220.0,0.0,0.069,0.0,0.0740656559530861,0.09609693198949695,-4.324668440901017,
221.0,0.0,0.066,0.0,0.07158512845938805,0.07949103481711388,-4.283423808812703,
222.0,0.0,0.063,0.0,0.06881880913942456,0.0634972013428056,-4.221665775888443,
223.0,0.0,0.06,0.0,0.06578084627706389,0.04820625949810152,-4.139909698743844,
224.0,0.0,0.057,0.0,0.06247644516986428,0.03370747017997612,-4.03878082968487,
225.0,0.0,0.054,0.0,0.05892750236363181,0.02008765521312716,-3.91901171547494,
226.0,0.0,0.051,0.0,0.05514032539713354,0.007430801625187972,-3.781439218573835,
227.0,0.0,0.048,0.0,0.051146867914517,-0.004181979292343776,-3.627000778430748,
228.0,0.0,0.045,0.0,0.0469528569215573,-0.01467439814405214,-3.456730588191378,
229.0,0.0,0.042,0.0,0.04260404275642458,-0.02397217494572297,-3.27175465818577,
230.0,0.0,0.039,0.0,0.0381029976541951,-0.03200991070167693,-3.073286640250044,
231.0,0.0,0.036,0.0,0.03351541292627994,-0.03871980309273303,-2.862620773187541,
232.0,0.0,0.033,0.0,0.02883685118247418,-0.04405271245149348,-2.641127756831225,
233.0,0.0,0.03,0.0,0.02416328665734776,-0.04794310351567931,-2.410240677916666,
234.0,0.0,0.027,0.0,0.01947764562869153,-0.05036946171692689,-2.171459351888684,
235.0,0.0,0.024,0.0,0.01492467496708409,-0.05125372060037454,-1.926340164322013,
236.0,0.0,0.021,0.0,0.01046631861209469,-0.05062969184994061,-1.676602307245333,
