
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  Y     X     Z   

     3798   0.417704918033E-001    0.00000000000        0.125000000000E-001
    11362   0.417704918033E-001    0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       17   0.447540983607E-001    0.00000000000         0.00000000000     
     7761   0.447540983607E-001    0.00000000000         0.00000000000     
    15331   0.447540983607E-001    0.00000000000        0.250000000000E-002
    15271   0.447540983607E-001    0.00000000000        0.500000000000E-002
    15211   0.447540983607E-001    0.00000000000        0.750000000000E-002
    15151   0.447540983607E-001    0.00000000000        0.100000000000E-001
     3799   0.447540983607E-001    0.00000000000        0.125000000000E-001
    11363   0.447540983607E-001    0.00000000000        0.125000000000E-001
       18   0.477377049180E-001    0.00000000000         0.00000000000     
     7762   0.477377049180E-001    0.00000000000         0.00000000000     
    15332   0.477377049180E-001    0.00000000000        0.250000000000E-002
    15272   0.477377049180E-001    0.00000000000        0.500000000000E-002
    15212   0.477377049180E-001    0.00000000000        0.750000000000E-002
    15152   0.477377049180E-001    0.00000000000        0.100000000000E-001
     3800   0.477377049180E-001    0.00000000000        0.125000000000E-001
    11364   0.477377049180E-001    0.00000000000        0.125000000000E-001
       19   0.507213114754E-001    0.00000000000         0.00000000000     
     7763   0.507213114754E-001    0.00000000000         0.00000000000     
    15333   0.507213114754E-001    0.00000000000        0.250000000000E-002
    15273   0.507213114754E-001    0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15213   0.507213114754E-001    0.00000000000        0.750000000000E-002
    15153   0.507213114754E-001    0.00000000000        0.100000000000E-001
     3801   0.507213114754E-001    0.00000000000        0.125000000000E-001
    11365   0.507213114754E-001    0.00000000000        0.125000000000E-001
       20   0.537049180328E-001    0.00000000000         0.00000000000     
     7764   0.537049180328E-001    0.00000000000         0.00000000000     
    15334   0.537049180328E-001    0.00000000000        0.250000000000E-002
    15274   0.537049180328E-001    0.00000000000        0.500000000000E-002
    15214   0.537049180328E-001    0.00000000000        0.750000000000E-002
    15154   0.537049180328E-001    0.00000000000        0.100000000000E-001
     3802   0.537049180328E-001    0.00000000000        0.125000000000E-001
    11366   0.537049180328E-001    0.00000000000        0.125000000000E-001
       21   0.566885245902E-001    0.00000000000         0.00000000000     
     7765   0.566885245902E-001    0.00000000000         0.00000000000     
    15335   0.566885245902E-001    0.00000000000        0.250000000000E-002
    15275   0.566885245902E-001    0.00000000000        0.500000000000E-002
    15215   0.566885245902E-001    0.00000000000        0.750000000000E-002
    15155   0.566885245902E-001    0.00000000000        0.100000000000E-001
     3803   0.566885245902E-001    0.00000000000        0.125000000000E-001
    11367   0.566885245902E-001    0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       22   0.596721311475E-001    0.00000000000         0.00000000000     
     7766   0.596721311475E-001    0.00000000000         0.00000000000     
    15336   0.596721311475E-001    0.00000000000        0.250000000000E-002
    15276   0.596721311475E-001    0.00000000000        0.500000000000E-002
    15216   0.596721311475E-001    0.00000000000        0.750000000000E-002
    15156   0.596721311475E-001    0.00000000000        0.100000000000E-001
     3804   0.596721311475E-001    0.00000000000        0.125000000000E-001
    11368   0.596721311475E-001    0.00000000000        0.125000000000E-001
       23   0.626557377049E-001    0.00000000000         0.00000000000     
     7767   0.626557377049E-001    0.00000000000         0.00000000000     
    15337   0.626557377049E-001    0.00000000000        0.250000000000E-002
    15277   0.626557377049E-001    0.00000000000        0.500000000000E-002
