,0,1,2,3,4,5,6,7,8,9,pos x,pos y,theta_z,c,r,pos_z,theta_y,UZ - N1 M1,UZ - N1 M2,UZ - N1 M3,UZ - N1 M4,UZ - N2 M4,UZ - N3 M4,UZ - N4 M4,UZ - N2 M3,UZ - N3 M3,UZ - N4 M3,UZ - N2 M2,UZ - N3 M2,UZ - N4 M2,UZ - N2 M1,UZ - N3 M1,UZ - N4 M1
Core damage 198,209.63,349.0,827.49,1034.6,1169.8,1270.8,1603.1,1703.3,1838.1,2017.5,0.1477192130173407,0.0749772985506754,78.00963372120539,0.0209009877344881,0.3019319101065568,0.0060387972474329,1.1349522097460092,1.455158880629212,-1.609498390809564,-3.397150036310994,-3.027707545472061,-2.877694619271699,-3.058192224096631,-2.743021266984879,-3.387629396704403,-3.400259682512176,-3.384535727399742,-1.548870409068493,-1.615681900302566,-1.295618623018464,1.464162566705911,1.448483681677443,1.270911437916991
Core damage 200,209.58,349.01,827.16,1034.3,1170.0,1270.7,1603.6,1703.9,1838.8,2017.1,0.1278905478286853,0.0638310402983653,89.40178310225619,0.0243728081385048,0.2978293192541418,0.0062168985857292,-4.967552869416831,1.245701647557417,-0.8325004745359726,-3.352191726730524,-1.902407584306804,-1.806488616234797,-1.703560152734782,-1.533101321516047,-3.34603818483301,-3.34728087156804,-3.22014828959454,-0.7952159816590191,-0.7665728463443536,-0.6247729501099053,1.237282224148956,1.250033593241781,1.050878760760522
Core damage 201,209.63,348.99,826.9,1034.3,1170.4,1270.7,1604.4,1705.4,1839.5,2018.1,0.0566800834091372,0.0436198666494719,81.3047232355186,0.0217196004584957,0.2650996061509703,0.0060793749266384,0.0907276280017512,0.7560903584327366,0.7671092472123304,-2.910393777121485,2.226793385781221,2.224769722007412,2.354190597000725,2.019720226066806,-2.896024864417857,-2.940479824509735,-2.525555294832387,0.7628786868137312,0.807001688721214,0.6394651534546494,0.7482951520454492,0.7663988264856159,0.5855145927743772
Core damage 202,209.65,349.05,827.58,1034.5,1170.2,1270.8,1604.7,1703.4,1839.0,2016.9,0.1262335570038341,0.0989326541680657,139.42289364189023,0.0231667148013175,0.2296387849852106,0.0061571486308326,6.599623959482723,2.04822190027685,-0.7499768196146029,-2.659721727750863,-0.8284771496292042,-0.8001721867588959,-0.870540095192053,-1.201652739849709,-2.667109853568435,-2.765710428433982,-2.96281766093356,-0.7237544827385534,-0.7369769263252243,-0.8745781317257503,2.043108332956056,1.982194248327908,1.846493320586383
Core damage 203,209.74,349.1,827.52,1034.9,1170.7,1270.9,1605.3,1705.0,1840.1,2013.7,0.0863691826367124,0.1568621651488765,98.536903890266,0.0188669379485046,0.3193799274140569,0.0060587808935981,-3.4124122770663146,3.589322857654423,0.9949624373009598,1.449536866468931,-0.6364675899387519,-0.6429334110498306,-0.5163742792143637,-0.3825459292407479,1.471789136862321,1.513653522590465,0.8343431250081428,0.9956040887065516,0.8177941436702096,0.8499196582677104,3.596126613080239,3.605730909194919,3.399704169129518
Core damage 204,209.62,349.04,827.67,1034.3,1170.5,1270.8,1604.9,1702.1,1839.1,2010.8,0.0904353121525001,0.0999724327028331,66.27880942419245,0.0244475186465738,0.3083597398724645,0.0063131453174225,0.0994423775510817,2.143980865081765,0.1957906651200708,-2.478058716564161,-0.1674996807481088,-0.2025541955405974,-0.1086137294502965,-0.3921692297047457,-2.463702582923279,-2.666505802544669,-2.832288967676906,0.223640724518239,0.1492934787560932,0.3170040321996586,2.151833786190721,2.035345915107909,1.929898184870266
Core damage 205,209.55,349.03,827.36,1034.0,1170.2,1270.7,1604.9,1701.7,1838.9,2013.9,0.1168109593548021,0.0722906052529185,105.72579427023996,0.0278405069557393,0.289360540698185,0.0064666210220701,1.8861783646334984,1.456345116661762,-0.3847910955959352,-3.293072914036877,-0.7015881258235473,-0.7117254508154064,-0.6806291556741972,-1.268452810062561,-3.29656078525098,-3.284564924482698,-3.299898027900485,-0.3866761469799725,-0.3806659468213564,-0.5238927543025665,1.446325719621146,1.477810034619131,1.212034933232527
Core damage 206,209.49,349.03,826.14,1034.3,1170.0,1270.7,1604.5,1705.6,1838.7,2016.2,0.0901992312840654,0.049811146320486,146.03540198348196,0.0299819254527691,0.2533338930632172,0.0061268156230419,-1.9656303468326968,0.8152302538892098,0.4228494584390729,-2.920340074517612,1.292720114237604,1.315704746253457,1.30147080224826,1.124639644216827,-2.933602367671385,-2.956348688602961,-3.027012063010226,0.4323485580291607,0.4313137392488666,0.3833199351028748,0.822239010123417,0.8318158012125934,0.8582617552279381
Core damage 208,209.52,348.78,826.17,1032.4,1166.6,1271.0,1602.4,1703.5,1837.5,2010.7,0.1595286625958071,0.1267938539241876,178.9015202248193,0.028532498533128,0.2773693338985536,0.0064635161018039,5.189625065827741,2.60366029821892,-2.301170011677465,-1.564950305616484,0.9044246812472428,0.9712554227705744,0.8558304490200965,1.274431575694345,-1.629162038130058,-1.491225168207666,-1.749983205063405,-2.287392902929986,-2.427649355631928,-2.812053058262543,2.581276222217323,2.632009515538783,2.555295297683569
Core damage 209,209.68,349.09,826.83,1033.9,1168.3,1271.1,1605.2,1705.0,1838.6,2017.7,0.1473154674073176,0.1400350481792011,23.98231640891578,0.0265983052550298,0.270405511794253,0.0063168555016595,-3.619907999163889,3.089225699551684,-3.134758620236805,-0.2324576482245446,-0.4043097485728553,-0.1424797687964572,0.1333830334792772,0.3427158425583441,-0.4720329993989,-0.7151239691111476,-0.9150485403787162,-3.113306735760914,-2.967329526901969,-2.624590235314213,3.020059332250649,2.943183532290576,2.867455145920101
