,0,1,2,3,4,5,6,7,8,9,Type,pos x,pos y,theta,c,r,UZ - N1 M1,UZ - N1 M2,UZ - N1 M3,UZ - N1 M4,UZ - N2 M4,UZ - N3 M4,UZ - N4 M4,UZ - N2 M3,UZ - N3 M3,UZ - N4 M3,UZ - N2 M2,UZ - N3 M2,UZ - N4 M2,UZ - N2 M1,UZ - N3 M1,UZ - N4 M1
Skin damage 143,209.25,350.09,834.62,1044.2,1178.7,1262.5,1619.7,1726.6,1862.5,2042.6,Skin,0.1292165764619958,0.0570067698324821,68.80572152609807,0.0737964682534466,0.5545581282803227,4.483166118681888,4.198163063638368,3.881401607223153,4.704992851069113,-1.403785512265167,-3.635183536863323,3.455489840334621,4.106144698767861,-3.442706261105128,-3.460618063527771,-1.154242146922127,1.851006857818886,-1.756778685535948,4.508054465085047,1.346206324935276,1.350559532653486
Skin damage 144,210.19,351.22,835.91,1044.8,1180.3,1269.0,1623.1,1727.4,1863.2,2043.9,Skin,0.0416087609050626,0.0667816795343905,161.13646355042232,0.0368454082940634,0.2564822875161354,4.490461246160755,4.192671224992469,3.911583903272362,-4.679902986647605,1.432736511260047,3.617387564676451,-3.469511939554524,4.10233999905352,-3.461940640844347,-3.436193184210894,-1.16397966772688,1.846931963761768,-1.758532059149902,4.500332815148932,1.351038772747827,1.353445367398718
Skin damage 145,210.29,351.16,836.06,1044.1,1178.7,1269.4,1622.1,1726.6,1862.5,2041.2,Skin,0.1374877370045873,0.1568342721804011,38.97804858771471,0.0381437912713453,0.5309618757610666,4.487979873500151,4.195483641372917,3.905616885487085,-4.683256370890471,1.407241151488814,3.620990643007268,-3.463956329338504,4.113678126133842,-3.455657843834488,-3.440411633676443,-1.159674019018487,1.84643782956907,-1.756379497470826,4.500737361752215,1.351700344325091,1.354146800071974
Skin damage 146,210.25,351.21,835.86,1044.8,1180.1,1269.1,1622.9,1727.4,1863.2,2043.8,Interface,0.1414987405569436,0.0975689636135944,46.94215785398546,0.0331129519482317,0.3644652106143395,4.488121502493595,4.193739942846122,3.902211583423541,4.688703754979938,-1.41868308010682,-3.6251106103831,3.462462779551166,4.108381770398415,-3.453431696156365,-3.444386231662751,-1.162101866719354,1.847428480534275,-1.757525758085327,4.501123610370327,1.351427021536162,1.353416581020974
Skin damage 147,210.27,351.0,835.65,1043.6,1178.7,1269.0,1621.4,1725.4,1861.7,2040.0,Skin,0.0553999164993283,0.1387582528435938,86.41435581663067,0.0487849135873029,0.4735699255409249,4.48989827427964,4.198549514911699,3.927047707651735,4.69760183064912,-1.45266811556766,-3.61475653148738,3.470199580490831,4.106451730642547,-3.459314795132161,-3.434345967682394,-1.167201936817778,1.844739955667622,-1.755888399794615,4.500772406383517,1.351361980374543,1.353974443618032
Skin damage 148,210.21,350.43,834.87,1042.1,1175.3,1266.7,1621.1,1724.7,1861.9,2041.5,Interface,0.0712362654266806,0.1359810533411393,118.6861004305039,0.0657465515260535,0.7234663317126016,4.49180837268092,4.20584894015956,3.932239185039682,4.697529836025039,-1.467223382012814,-3.614563958430284,3.473716371337952,4.11513683932099,-3.461685538329137,-3.430772027398842,-1.172514944029897,1.840688472618233,-1.752359350568819,4.502852304701019,1.350354802054051,1.353309130318421
Skin damage 149,209.66,349.97,833.37,1044.5,1176.6,1263.5,1616.5,1726.6,1862.2,2043.0,Skin,0.1056396304774589,0.0769008670225775,126.73895770958524,0.0575679037657663,0.818287250467476,4.491684681325623,4.195550949636909,3.890654671751811,4.687412405614353,-1.417164127090387,-3.627997752536742,3.463491681934503,4.107008516977842,-3.451989750108066,-3.446956237486131,-1.162350776135193,1.846263407090198,-1.755459588884432,4.508266577350547,1.34646478932408,1.34868011057106
Skin damage 150,210.12,351.12,835.88,1045.0,1180.1,1268.5,1622.1,1727.3,1863.2,2044.0,Skin,0.0987819064001729,0.0598943265244471,155.08120588261502,0.0291433856743471,0.6311703770829529,4.488807588354772,4.193090816475187,3.905434741257963,-4.686569195289048,1.425521741551274,3.621181997226073,-3.465377519566628,4.104768170510746,-3.457277334424996,-3.440554639939787,-1.162714720526519,1.848156868922297,-1.758322278208512,4.501393203787176,1.35076921643805,1.353295609838569
Skin damage 151,210.22,351.22,835.79,1044.7,1180.3,1269.1,1623.1,1727.5,1863.2,2043.8,Skin,0.1593899998133583,0.0799043770713701,16.03866982107897,0.0230070282195839,0.594595697590679,4.487569382134086,4.193792930072015,3.898490434455484,4.692993387608784,-1.413949234322475,-3.627633356967432,3.477528351963523,4.106509385958034,-3.450669242428716,-3.464829299468422,-1.161904175954195,1.847949371526093,-1.757545400174891,4.501250421784884,1.351208629008322,1.349855093353588
Skin damage 152,210.27,351.1,835.77,1044.3,1179.1,1268.9,1622.9,1726.7,1863.1,2043.6,Interface,0.0744208806625952,0.1271928174781423,43.55152875947874,0.0482757378069615,0.331133082167568,4.489310955132935,4.196452320243445,3.915174620177854,4.687340505173859,-1.43744231566569,-3.618592793186418,3.469107064243425,4.108077450807501,-3.459284454454177,-3.43675508824099,-1.165158745734654,1.845760090305434,-1.756651228977555,4.500922790310776,1.351310733222634,1.353883446260272
